zip3,pmf,market,market_type,lat,lon,pmf_norm,preferred_fc_zip3,preferred_fc_distance,preferred_fc,preferred_bucket,candidate_fc_zip3_set,candidate_fc_name_set,candidate_count,cluster_id
165,0.000416566,Secondary,PA,42.11951227,-80.08246136,0.00041656636699496935,303,617,GA-303,601-1000,303,GA-303,1,GA-303
166,0.000594808,Secondary,PA,40.5086,-78.33891137,0.0005948085240263097,303,567,GA-303,301-600,303,GA-303,1,GA-303
168,0.000119162,Secondary,PA,40.89835472,-77.98498962,0.0001191621049818145,303,600,GA-303,301-600,303,GA-303,1,GA-303
169,3e-05,Secondary,PA,41.82211053,-77.30583789,3.0000026430023288e-05,303,672,GA-303,601-1000,303,GA-303,1,GA-303
170,0.002378232,Primary,PA,40.3307,-76.94386764,0.002378234095224238,303,607,GA-303,601-1000,303,GA-303,1,GA-303
171,0.000653889,Primary,PA,40.26888145,-76.86055597,0.0006538895760767165,303,607,GA-303,601-1000,303,GA-303,1,GA-303
172,0.000624849,Primary,PA,39.96023529,-77.73703309,0.000624849550492454,303,559,GA-303,301-600,303,GA-303,1,GA-303
173,0.001159576,Primary,PA,39.91429771,-76.83668211,0.0011595770215873562,303,591,GA-303,301-600,303,GA-303,1,GA-303
174,0.000445606,Primary,PA,39.96253563,-76.721075,0.00044560639257923185,303,597,GA-303,301-600,303,GA-303,1,GA-303
175,0.00074301,Primary,PA,40.0787199,-76.24097704,0.0007430106545923867,303,622,GA-303,601-1000,303,GA-303,1,GA-303
176,0.000832131,Primary,PA,40.04796608,-76.3200386,0.0008321317331080569,303,617,GA-303,601-1000,303,GA-303,1,GA-303
177,0.000803091,Secondary,PA,41.25440132,-77.08451711,0.0008030917075237944,303,649,GA-303,601-1000,303,GA-303,1,GA-303
178,0.000624849,Secondary,PA,40.91138511,-76.71143936,0.000624849550492454,303,644,GA-303,601-1000,303,GA-303,1,GA-303
179,0.000327445,Primary,PA,40.71563333,-76.21331714,0.00032744528847929914,303,653,GA-303,601-1000,303,GA-303,1,GA-303
180,0.002527435,Primary,PA,40.62422628,-75.41782569,0.002527437226672197,303,679,GA-303,601-1000,303,GA-303,1,GA-303
