ZIP3,GA-303,NY-134,TX-799,UT-841,AZ-852,CA-900,CA-945,CO-802,FL-331,IL-606,MA-021,MI-481,NC-275,NJ-070,TX-750,TX-770,WA-980
936,2001,2371,837,505,501,207,145,828,2439,1745,2592,1961,2279,2454,1325,1486,754
937,2002,2373,836,507,501,205,146,829,2440,1746,2594,1963,2280,2455,1326,1486,756
939,2108,2473,934,600,596,262,86,932,2544,1848,2694,2064,2385,2557,1431,1588,755
940,2130,2473,978,597,642,322,26,942,2577,1853,2695,2067,2401,2562,1462,1626,697
941,2140,2476,995,599,660,344,19,948,2590,1856,2698,2071,2408,2566,1475,1641,677
943,2127,2472,974,596,638,317,29,940,2573,1851,2694,2065,2398,2560,1458,1622,700
944,2136,2477,985,601,649,329,25,946,2583,1857,2699,2071,2406,2566,1468,1632,692
945,2121,2457,980,580,646,336,0,929,2572,1837,2679,2051,2389,2547,1457,1624,671
946,2132,2468,989,591,654,341,11,940,2583,1848,2690,2063,2400,2558,1468,1634,674
947,2133,2467,991,591,656,343,11,940,2584,1848,2689,2062,2401,2558,1469,1635,671
948,2134,2467,993,591,659,347,13,940,2585,1848,2689,2062,2401,2558,1470,1637,668
949,2147,2477,1009,601,675,362,29,952,2600,1859,2699,2073,2414,2568,1485,1652,661
950,2116,2467,956,592,620,296,47,932,2559,1845,2689,2060,2389,2554,1445,1606,717
951,2114,2462,959,587,623,303,37,928,2559,1841,2684,2055,2386,2550,1445,1608,707
952,2074,2410,941,533,610,319,48,881,2528,1790,2632,2004,2342,2500,1413,1582,661
953,2058,2403,914,528,581,286,67,870,2506,1781,2625,1996,2328,2491,1391,1557,690
954,2161,2475,1039,602,708,404,68,960,2621,1861,2698,2073,2423,2570,1506,1677,619
955,2215,2478,1151,633,829,552,219,1003,2698,1877,2701,2085,2460,2582,1587,1770,485
956,2081,2401,966,526,638,359,65,881,2542,1785,2623,1998,2343,2494,1427,1600,619
957,2073,2393,961,518,634,359,73,874,2535,1777,2615,1990,2336,2486,1420,1594,616
958,2084,2406,968,530,639,358,61,885,2545,1789,2628,2002,2347,2498,1430,1603,622
959,2090,2390,1000,521,677,413,112,884,2561,1778,2613,1990,2346,2487,1447,1625,563
960,2129,2396,1078,547,763,512,200,917,2615,1793,2618,2001,2374,2498,1504,1690,471
961,2024,2324,950,453,634,403,155,817,2498,1711,2546,1923,2279,2420,1385,1567,554
967,4491,4866,3219,2993,2907,2550,2414,3339,4843,4251,5089,4465,4786,4961,3777,3881,2695
