ZIP3,Market,State
764,Primary,TX
765,Secondary,TX
766,Primary,TX
767,Primary,TX
768,Secondary,TX
769,Secondary,TX
770,Primary,TX
772,Primary,TX
773,Primary,TX
774,Primary,TX
775,Primary,TX
776,Primary,TX
777,Primary,TX
778,Primary,TX
779,Primary,TX
780,Primary,TX
781,Primary,TX
782,Primary,TX
783,Secondary,TX
784,Secondary,TX
785,Secondary,TX
786,Primary,TX
787,Primary,TX
788,Primary,TX
789,Primary,TX
790,Secondary,TX
791,Secondary,TX
792,Secondary,TX
793,Secondary,TX
794,Secondary,TX
795,Secondary,TX
796,Secondary,TX
797,Secondary,TX
798,Primary,TX
799,Primary,TX
800,Primary,CO
801,Primary,CO
802,Primary,CO
803,Primary,CO
804,Primary,CO
805,Primary,CO
806,Primary,CO
807,Secondary,CO
808,Primary,CO
809,Primary,CO
810,Secondary,CO
811,Secondary,CO
812,Secondary,CO
813,Secondary,CO
814,Secondary,CO
815,Secondary,CO
816,Secondary,CO
820,Secondary,WY
821,Secondary,WY
822,Secondary,WY
823,Secondary,WY
824,Tertiary,WY
825,Secondary,WY
826,Secondary,WY
827,Tertiary,WY
828,Tertiary,WY
829,Secondary,WY
830,Secondary,WY
831,Secondary,WY
832,Secondary,ID
833,Secondary,ID
834,Secondary,ID
835,Secondary,ID
836,Primary,ID
837,Primary,ID
838,Secondary,ID
840,Primary,UT
841,Primary,UT
843,Primary,UT
844,Primary,UT
845,Secondary,UT
846,Primary,UT
847,Secondary,UT
850,Primary,AZ
851,Primary,AZ
852,Primary,AZ
853,Primary,AZ
855,Primary,AZ
856,Secondary,AZ
857,Secondary,AZ
859,Secondary,AZ
860,Secondary,AZ
863,Primary,AZ
864,Primary,AZ
865,Secondary,AZ
870,Secondary,NM
871,Secondary,NM
873,Secondary,NM
874,Secondary,NM
875,Secondary,NM
877,Secondary,NM
878,Primary,NM
879,Secondary,NM
880,Secondary,NM
881,Secondary,NM
882,Secondary,NM
883,Secondary,NM
884,Secondary,NM
890,Primary,NV
891,Primary,NV
893,Secondary,NV
894,Secondary,NV
895,Secondary,NV
897,Secondary,NV
898,Secondary,NV
900,Primary,CA
902,Primary,CA
903,Primary,CA
904,Primary,CA
905,Primary,CA
906,Primary,CA
907,Primary,CA
908,Primary,CA
910,Primary,CA
911,Primary,CA
912,Primary,CA
913,Primary,CA
914,Primary,CA
915,Primary,CA
916,Primary,CA
917,Primary,CA
918,Primary,CA
919,Secondary,CA
920,Primary,CA
921,Secondary,CA
922,Secondary,CA
923,Primary,CA
924,Primary,CA
925,Primary,CA
926,Primary,CA
927,Primary,CA
928,Primary,CA
930,Primary,CA
931,Primary,CA
932,Secondary,CA
933,Primary,CA
934,Secondary,CA
935,Primary,CA
936,Secondary,CA
937,Secondary,CA
939,Primary,CA
940,Primary,CA
941,Primary,CA
943,Primary,CA
944,Primary,CA
945,Primary,CA
946,Primary,CA
947,Primary,CA
948,Primary,CA
949,Primary,CA
950,Primary,CA
951,Primary,CA
952,Primary,CA
953,Primary,CA
954,Primary,CA
955,Secondary,CA
956,Primary,CA
957,Primary,CA
958,Primary,CA
959,Secondary,CA
960,Secondary,CA
961,Secondary,CA
967,Tertiary,HI
968,Tertiary,HI
970,Primary,OR
971,Primary,OR
972,Primary,OR
973,Primary,OR
974,Secondary,OR
975,Secondary,OR
976,Secondary,OR
977,Secondary,OR
978,Secondary,OR
979,Primary,OR
980,Primary,WA
981,Primary,WA
982,Primary,WA
983,Primary,WA
984,Primary,WA
985,Primary,WA
986,Primary,WA
988,Secondary,WA
989,Secondary,WA
990,Secondary,WA
991,Secondary,WA
992,Secondary,WA
993,Secondary,WA
994,Secondary,WA
995,Tertiary,AK
996,Tertiary,AK
997,Tertiary,AK
998,Tertiary,AK
999,Tertiary,AK
