zip3,market_type,fc,pmf_alloc,distance_bucket
312,Primary,GA-303,0.0002406269119923,51-150
313,Secondary,GA-303,0.0008291275304613301,151-300
314,Secondary,GA-303,0.0008832013781004001,151-300
315,Secondary,GA-303,0.00093637342494495,151-300
316,Secondary,GA-303,0.00037490973029541,151-300
317,Secondary,GA-303,0.00045511870095954,151-300
318,Primary,GA-303,0.00013338101750859,51-150
319,Primary,GA-303,0.0002406269119923,51-150
320,Secondary,GA-303,0.0018727468498899,151-300
321,Primary,GA-303,0.00125811110839581,301-600
322,Secondary,GA-303,0.0031038210344663097,151-300
323,Secondary,GA-303,0.0005885006184690299,151-300
324,Secondary,GA-303,0.0010436193194285702,151-300
325,Secondary,GA-303,0.00179253787922586,151-300
326,Primary,GA-303,0.0012310741845763201,301-600
327,Primary,GA-303,0.00329127589961406,301-600
328,Primary,GA-303,0.00446917713734502,301-600
329,Primary,GA-303,0.00163211903789679,301-600
330,Primary,GA-303,0.00583363323943083,301-600
331,Primary,GA-303,0.00703767050018766,601-1000
333,Primary,GA-303,0.00230173042782447,301-600
334,Primary,GA-303,0.0049774687851499196,301-600
335,Primary,GA-303,0.00203406569201187,301-600
336,Primary,GA-303,0.00219448453334085,301-600
337,Primary,GA-303,0.00163211903789679,301-600
338,Primary,GA-303,0.00251532041599728,301-600
339,Secondary,GA-303,0.00254235733981677,301-600
341,Primary,GA-303,0.00077595548361678,301-600
342,Secondary,GA-303,0.00165915596171637,301-600
344,Primary,GA-303,0.0011508652139121899,301-600
346,Primary,GA-303,0.00152487404341398,301-600
347,Primary,GA-303,0.00417447637771365,301-600
349,Secondary,GA-303,0.00117700033693725,301-600
350,Secondary,GA-303,0.0009634103487644401,51-150
351,Secondary,GA-303,0.00029470075963128,51-150
352,Secondary,GA-303,0.00066870958913307,51-150
354,Secondary,GA-303,0.00037490973029541,151-300
355,Secondary,GA-303,2.700002378702096e-05,151-300
356,Secondary,GA-303,0.00091023740191908,151-300
357,Primary,GA-303,0.00034787280647592,51-150
358,Primary,GA-303,0.0006425735661072901,51-150
359,Primary,GA-303,0.0005623645954431599,51-150
360,Secondary,GA-303,0.00066870958913307,151-300
361,Secondary,GA-303,0.00077595548361678,151-300
362,Primary,GA-303,0.00016041794132817,51-150
363,Secondary,GA-303,0.00013338101750859,151-300
364,Secondary,GA-303,8.019007064745225e-05,151-300
365,Secondary,GA-303,0.00037490973029541,151-300
