zip3,pmf,market,market_type,lat,lon,pmf_norm,preferred_fc_zip3,preferred_fc_distance,preferred_fc,distance_bucket
240,0.000892213,Secondary,VA,37.20747706,-80.01200902,0.0008922137860403455,275,122,NC-275,51-150
241,0.000683929,Secondary,VA,37.06934143,-80.10405429,0.0006839296025419799,275,118,NC-275,51-150
242,0.000327445,Secondary,VA,36.81517643,-82.35745987,0.00032744528847929914,275,219,NC-275,151-300
243,0.000594808,Secondary,VA,36.83753356,-81.11225503,0.0005948085240263097,275,155,NC-275,151-300
244,0.000445606,Secondary,VA,38.04320667,-79.31057,0.00044560639257923185,275,157,NC-275,151-300
245,0.00071397,Primary,VA,37.16149444,-79.15126608,0.0007139706290081242,275,96,NC-275,51-150
246,0.000208283,Secondary,VA,37.17204028,-81.7817375,0.00020828318349748467,275,198,NC-275,151-300
247,0.000178242,Secondary,WV,37.37688824,-81.17853529,0.00017824215703134036,275,177,NC-275,151-300
249,0.000208283,Secondary,WV,37.83328475,-80.45680678,0.00020828318349748467,275,171,NC-275,151-300
250,0.000356484,Secondary,WV,38.28920448,-81.51959701,0.0003564843140626807,275,233,NC-275,151-300
251,0.000148201,Secondary,WV,38.26736075,-81.62581589,0.00014820113056519604,275,236,NC-275,151-300
252,0.000297404,Secondary,WV,38.65841184,-81.59550921,0.00029740426201315485,275,254,NC-275,151-300
253,0.000267363,Secondary,WV,38.3517255,-81.6372055,0.00026736323554701056,275,240,NC-275,151-300
254,0.000534727,Primary,WV,39.42938372,-78.08368837,0.000534727471094902,70,227,NJ-070,151-300
255,0.000297404,Secondary,WV,38.35476786,-82.14961161,0.00029740426201315485,275,261,NC-275,151-300
256,0.000119162,Secondary,WV,37.76249259,-82.0260037,0.0001191621049818145,275,231,NC-275,151-300
257,0.000327445,Secondary,WV,38.41577699,-82.43553274,0.00032744528847929914,481,272,MI-481,151-300
258,0.000119162,Secondary,WV,37.825463,-81.192217,0.0001191621049818145,275,198,NC-275,151-300
259,8.91e-05,Secondary,WV,37.79625,-81.0564381,8.910007849716916e-05,275,191,NC-275,151-300
260,0.000445606,Secondary,WV,40.15625591,-80.61938661,0.00044560639257923185,481,208,MI-481,151-300
261,0.000505687,Secondary,WV,39.28909,-81.33790077,0.0005056874455106396,481,234,MI-481,151-300
262,0.000267363,Secondary,WV,38.86444066,-79.99928901,0.00026736323554701056,275,222,NC-275,151-300
263,0.000119162,Secondary,WV,39.21827692,-80.45758462,0.0001191621049818145,275,254,NC-275,151-300
264,0.000238324,Secondary,WV,39.25559726,-80.41546027,0.000238324209963629,275,256,NC-275,151-300
265,0.000653889,Secondary,WV,39.5895,-80.0849882,0.0006538895760767165,481,256,MI-481,151-300
266,3e-05,Secondary,WV,38.45512727,-80.77590909,3.0000026430023288e-05,275,216,NC-275,151-300
268,0.000148201,Secondary,WV,38.93795366,-79.0184878,0.00014820113056519604,275,215,NC-275,151-300
270,0.000534727,Secondary,NC,36.17049502,-80.38823575,0.000534727471094902,275,101,NC-275,51-150
271,0.000683929,Primary,NC,36.09141046,-80.25698769,0.0006839296025419799,275,93,NC-275,51-150
272,0.001426939,Primary,NC,35.95710716,-79.77658795,0.0014269402571343666,275,65,NC-275,51-150
273,0.000832131,Primary,NC,35.88759763,-79.59428538,0.0008321317331080569,275,54,NC-275,51-150
274,0.001040414,Primary,NC,36.05700861,-79.79280196,0.0010404149166055416,275,67,NC-275,51-150
275,0.004221737,Primary,NC,35.82887174,-78.63465029,0.004221740719353574,275,0,NC-275,<50
276,0.001487021,Primary,NC,35.8020726,-78.6551966,0.0014870223100666552,275,2,NC-275,<50
277,0.000892213,Primary,NC,35.94769405,-78.88211162,0.0008922137860403455,275,16,NC-275,<50
278,0.001307777,Primary,NC,35.87348852,-77.5487614,0.0013077781521525522,275,61,NC-275,51-150
279,0.00071397,Secondary,NC,36.14088453,-76.32125746,0.0007139706290081242,275,131,NC-275,51-150
280,0.002675636,Secondary,NC,35.33906188,-80.99037833,0.0026756383572373926,275,137,NC-275,51-150
281,0.00151606,Secondary,NC,35.31159828,-80.76785226,0.0015160613356500368,275,125,NC-275,51-150
282,0.002675636,Secondary,NC,35.21502079,-80.83265285,0.0026756383572373926,275,131,NC-275,51-150
283,0.002438314,Primary,NC,35.01738742,-78.9475324,0.002438316148156527,275,59,NC-275,51-150
284,0.001605181,Secondary,NC,34.2891912,-78.08137156,0.001605182414165707,275,111,NC-275,51-150
285,0.001784425,Primary,NC,34.9859099,-77.28354777,0.0017844265720798102,275,96,NC-275,51-150
286,0.001576142,Secondary,NC,35.94264222,-81.30105167,0.0015761433885823255,275,150,NC-275,51-150
287,0.001546101,Secondary,NC,35.45591335,-82.64979975,0.0015461023621161812,303,148,GA-303,51-150
288,0.000683929,Secondary,NC,35.58817723,-82.54401295,0.0006839296025419799,303,159,GA-303,151-300
289,0.000178242,Primary,NC,35.088075,-83.868865,0.00017824215703134036,303,91,GA-303,51-150
