zip3,preferred_fc,preferred_fc_zip3,preferred_fc_distance,distance_bucket,market_type,pmf,pmf_norm,lat,lon
164,GA-303,303,605,601-1000,Secondary,0.000238324,0.000238324209963629,41.88696429,-79.99716071
165,GA-303,303,617,601-1000,Secondary,0.000416566,0.00041656636699496935,42.11951227,-80.08246136
166,GA-303,303,567,301-600,Secondary,0.000594808,0.0005948085240263097,40.5086,-78.33891137
168,GA-303,303,600,301-600,Secondary,0.000119162,0.0001191621049818145,40.89835472,-77.98498962
169,GA-303,303,672,601-1000,Secondary,3e-05,3.0000026430023288e-05,41.82211053,-77.30583789
170,GA-303,303,607,601-1000,Primary,0.002378232,0.002378234095224238,40.3307,-76.94386764
171,GA-303,303,607,601-1000,Primary,0.000653889,0.0006538895760767165,40.26888145,-76.86055597
172,GA-303,303,559,301-600,Primary,0.000624849,0.000624849550492454,39.96023529,-77.73703309
173,GA-303,303,591,301-600,Primary,0.001159576,0.0011595770215873562,39.91429771,-76.83668211
174,GA-303,303,597,301-600,Primary,0.000445606,0.00044560639257923185,39.96253563,-76.721075
175,GA-303,303,622,601-1000,Primary,0.00074301,0.0007430106545923867,40.0787199,-76.24097704
176,GA-303,303,617,601-1000,Primary,0.000832131,0.0008321317331080569,40.04796608,-76.3200386
177,GA-303,303,649,601-1000,Secondary,0.000803091,0.0008030917075237944,41.25440132,-77.08451711
178,GA-303,303,644,601-1000,Secondary,0.000624849,0.000624849550492454,40.91138511,-76.71143936
179,GA-303,303,653,601-1000,Primary,0.000327445,0.00032744528847929914,40.71563333,-76.21331714
180,GA-303,303,679,601-1000,Primary,0.002527435,0.002527437226672197,40.62422628,-75.41782569
181,GA-303,303,675,601-1000,Primary,0.00071397,0.0007139706290081242,40.58665963,-75.48004667
182,GA-303,303,673,601-1000,Primary,0.001011374,0.0010113748910212791,40.91117327,-75.91078119
183,GA-303,303,705,601-1000,Primary,0.001100496,0.0011004969695378303,41.04724939,-75.24029085
184,GA-303,303,720,601-1000,Primary,0.001278738,0.0012787391265691706,41.53036893,-75.46419322
185,GA-303,303,706,601-1000,Primary,0.000416566,0.00041656636699496935,41.39919606,-75.68046897
186,GA-303,303,691,601-1000,Secondary,0.000327445,0.00032744528847929914,41.30784775,-75.94537416
187,GA-303,303,691,601-1000,Primary,0.000773051,0.000773051681058531,41.24694724,-75.88343681
188,GA-303,303,711,601-1000,Secondary,0.000208283,0.00020828318349748467,41.81512832,-76.12135487
189,GA-303,303,676,601-1000,Primary,0.001129535,0.0011295359951212119,40.29460743,-75.13967883
190,GA-303,303,663,601-1000,Primary,0.003776132,0.003776135326775223,40.04971981,-75.19010931
191,GA-303,303,662,601-1000,Primary,0.005708758,0.00570876302942023,39.98244557,-75.15100769
193,GA-303,303,643,601-1000,Primary,0.001159576,0.0011595770215873562,39.97870243,-75.61172708
194,GA-303,303,660,601-1000,Primary,0.001100496,0.0011004969695378303,40.14909193,-75.36631969
195,GA-303,303,652,601-1000,Primary,0.000981334,0.0009813348645560157,40.37234731,-75.82671183
196,GA-303,303,646,601-1000,Primary,0.000921252,0.0009212528116237271,40.32961781,-75.9111668
197,GA-303,303,628,601-1000,Primary,0.001605181,0.001605182414165707,39.67063322,-75.65360909
198,GA-303,303,635,601-1000,Primary,0.000921252,0.0009212528116237271,39.74372985,-75.56226797
199,GA-303,303,607,601-1000,Primary,0.001576142,0.0015761433885823255,38.88058095,-75.42778852
200,GA-303,303,537,301-600,Primary,0.002794798,0.0027948004622192074,38.91072436,-77.03283497
201,GA-303,303,521,301-600,Primary,0.003626929,0.0036269321953272646,38.90325843,-77.40995754
206,GA-303,303,531,301-600,Primary,0.001218656,0.001218657073636882,38.52837802,-76.80524593
207,GA-303,303,546,301-600,Primary,0.003240404,0.0032404068547984394,38.96671509,-76.8871367
208,GA-303,303,540,301-600,Primary,0.001843505,0.001843506624129336,39.07738908,-77.13893504
209,GA-303,303,543,301-600,Primary,0.000475646,0.0004756464190444952,39.0233881,-77.02748367
210,GA-303,303,572,301-600,Primary,0.002289111,0.002289113016708568,39.29973353,-76.6165766
211,GA-303,303,570,301-600,Primary,0.001991707,0.001991708754695413,39.31982141,-76.66981463
212,GA-303,303,571,301-600,Primary,0.003924333,0.0039243364573404195,39.30355192,-76.62872847
214,GA-303,303,561,301-600,Primary,0.000327445,0.00032744528847929914,38.9896406,-76.54905789
215,GA-303,303,496,301-600,Secondary,0.000416566,0.00041656636699496935,39.57773953,-78.96976628
216,GA-303,303,578,301-600,Primary,0.000564768,0.0005647684975610464,38.86673676,-76.05069081
217,GA-303,303,547,301-600,Primary,0.001784425,0.0017844265720798102,39.44913587,-77.382995
218,GA-303,303,581,301-600,Primary,0.000386525,0.000386525340528825,38.36056166,-75.58505389
219,GA-303,303,609,601-1000,Primary,0.000505687,0.0005056874455106396,39.56120375,-75.99228125
220,GA-303,303,527,301-600,Primary,0.00074301,0.0007430106545923867,38.86234783,-77.22257693
221,GA-303,303,526,301-600,Primary,0.001426939,0.0014269402571343666,38.83510377,-77.22143642
222,GA-303,303,533,301-600,Primary,0.000534727,0.000534727471094902,38.88123443,-77.10090017
223,GA-303,303,531,301-600,Primary,0.000951293,0.0009512938380898713,38.83112862,-77.1054273
224,GA-303,303,497,301-600,Primary,0.000803091,0.0008030917075237944,38.23108786,-77.30653931
225,GA-303,303,497,301-600,Primary,0.000475646,0.0004756464190444952,38.15327143,-77.24898469
226,GA-303,303,498,301-600,Primary,0.000594808,0.0005948085240263097,39.07277338,-78.19579286
227,GA-303,303,475,301-600,Primary,0.000238324,0.000238324209963629,38.45003061,-78.03821939
228,GA-303,303,447,301-600,Secondary,0.000327445,0.00032744528847929914,38.50563333,-78.81185
229,GA-303,303,435,301-600,Secondary,0.000773051,0.000773051681058531,38.04090567,-78.55812933
230,GA-303,303,469,301-600,Secondary,0.001337818,0.0013378191786186963,37.62949356,-77.41682772
231,GA-303,303,474,301-600,Secondary,0.00071397,0.0007139706290081242,37.4998441,-77.22245983
232,GA-303,303,464,301-600,Secondary,0.001694303,0.0016943044926822583,37.54388316,-77.47156195
233,GA-303,303,512,301-600,Secondary,0.000564768,0.0005647684975610464,37.00132646,-76.13837831
234,GA-303,303,508,301-600,Secondary,0.002289111,0.002289113016708568,36.95177949,-76.19095487
235,GA-303,303,501,301-600,Secondary,0.000624849,0.000624849550492454,36.86433079,-76.28011677
236,GA-303,303,498,301-600,Secondary,0.001932626,0.0019326277026450061,37.08132778,-76.46009571
237,GA-303,303,499,301-600,Secondary,0.000386525,0.000386525340528825,36.84195069,-76.31723889
238,GA-303,303,454,301-600,Secondary,0.001724343,0.0017243445191475215,37.14932953,-77.38776316
239,GA-303,303,405,301-600,Primary,0.000208283,0.00020828318349748467,37.00231935,-78.31550242
240,GA-303,303,338,301-600,Secondary,0.000892213,0.0008922137860403455,37.20747706,-80.01200902
241,GA-303,303,327,301-600,Secondary,0.000683929,0.0006839296025419799,37.06934143,-80.10405429
242,GA-303,303,235,151-300,Secondary,0.000327445,0.00032744528847929914,36.81517643,-82.35745987
243,GA-303,303,277,151-300,Secondary,0.000594808,0.0005948085240263097,36.83753356,-81.11225503
244,GA-303,303,405,301-600,Secondary,0.000445606,0.00044560639257923185,38.04320667,-79.31057
245,GA-303,303,372,301-600,Primary,0.00071397,0.0007139706290081242,37.16149444,-79.15126608
246,GA-303,303,272,151-300,Secondary,0.000208283,0.00020828318349748467,37.17204028,-81.7817375
247,GA-303,303,303,301-600,Secondary,0.000178242,0.00017824215703134036,37.37688824,-81.17853529
249,GA-303,303,352,301-600,Secondary,0.000208283,0.00020828318349748467,37.83328475,-80.45680678
250,GA-303,303,346,301-600,Secondary,0.000356484,0.0003564843140626807,38.28920448,-81.51959701
251,GA-303,303,342,301-600,Secondary,0.000148201,0.00014820113056519604,38.26736075,-81.62581589
252,GA-303,303,367,301-600,Secondary,0.000297404,0.00029740426201315485,38.65841184,-81.59550921
253,GA-303,303,347,301-600,Secondary,0.000267363,0.00026736323554701056,38.3517255,-81.6372055
254,GA-303,303,520,301-600,Primary,0.000534727,0.000534727471094902,39.42938372,-78.08368837
255,GA-303,303,336,301-600,Secondary,0.000297404,0.00029740426201315485,38.35476786,-82.14961161
256,GA-303,303,301,301-600,Secondary,0.000119162,0.0001191621049818145,37.76249259,-82.0260037
257,GA-303,303,334,301-600,Secondary,0.000327445,0.00032744528847929914,38.41577699,-82.43553274
258,GA-303,303,328,301-600,Secondary,0.000119162,0.0001191621049818145,37.825463,-81.192217
259,GA-303,303,330,301-600,Secondary,8.91e-05,8.910007849716916e-05,37.79625,-81.0564381
260,GA-303,303,483,301-600,Secondary,0.000445606,0.00044560639257923185,40.15625591,-80.61938661
261,GA-303,303,412,301-600,Secondary,0.000505687,0.0005056874455106396,39.28909,-81.33790077
262,GA-303,303,424,301-600,Secondary,0.000267363,0.00026736323554701056,38.86444066,-79.99928901
263,GA-303,303,430,301-600,Secondary,0.000119162,0.0001191621049818145,39.21827692,-80.45758462
264,GA-303,303,434,301-600,Secondary,0.000238324,0.000238324209963629,39.25559726,-80.41546027
265,GA-303,303,462,301-600,Secondary,0.000653889,0.0006538895760767165,39.5895,-80.0849882
266,GA-303,303,377,301-600,Secondary,3e-05,3.0000026430023288e-05,38.45512727,-80.77590909
268,GA-303,303,461,301-600,Secondary,0.000148201,0.00014820113056519604,38.93795366,-79.0184878
270,GA-303,303,277,151-300,Secondary,0.000534727,0.000534727471094902,36.17049502,-80.38823575
271,GA-303,303,280,151-300,Primary,0.000683929,0.0006839296025419799,36.09141046,-80.25698769
272,GA-303,303,298,151-300,Primary,0.001426939,0.0014269402571343666,35.95710716,-79.77658795
273,GA-303,303,305,301-600,Primary,0.000832131,0.0008321317331080569,35.88759763,-79.59428538
274,GA-303,303,301,301-600,Primary,0.001040414,0.0010404149166055416,36.05700861,-79.79280196
275,GA-303,303,353,301-600,Primary,0.004221737,0.004221740719353574,35.82887174,-78.63465029
276,GA-303,303,351,301-600,Primary,0.001487021,0.0014870223100666552,35.8020726,-78.6551966
277,GA-303,303,343,301-600,Primary,0.000892213,0.0008922137860403455,35.94769405,-78.88211162
278,GA-303,303,411,301-600,Primary,0.001307777,0.0013077781521525522,35.87348852,-77.5487614
279,GA-303,303,482,301-600,Secondary,0.00071397,0.0007139706290081242,36.14088453,-76.32125746
280,GA-303,303,218,151-300,Secondary,0.002675636,0.0026756383572373926,35.33906188,-80.99037833
281,GA-303,303,228,151-300,Secondary,0.00151606,0.0015160613356500368,35.31159828,-80.76785226
282,GA-303,303,222,151-300,Secondary,0.002675636,0.0026756383572373926,35.21502079,-80.83265285
283,GA-303,303,319,301-600,Primary,0.002438314,0.002438316148156527,35.01738742,-78.9475324
284,GA-303,303,361,301-600,Secondary,0.001605181,0.001605182414165707,34.2891912,-78.08137156
285,GA-303,303,411,301-600,Primary,0.001784425,0.0017844265720798102,34.9859099,-77.28354777
286,GA-303,303,226,151-300,Secondary,0.001576142,0.0015761433885823255,35.94264222,-81.30105167
287,GA-303,303,148,51-150,Secondary,0.001546101,0.0015461023621161812,35.45591335,-82.64979975
288,GA-303,303,159,151-300,Secondary,0.000683929,0.0006839296025419799,35.58817723,-82.54401295
289,GA-303,303,91,51-150,Primary,0.000178242,0.00017824215703134036,35.088075,-83.868865
290,GA-303,303,198,151-300,Secondary,0.000951293,0.0009512938380898713,33.98978865,-80.8998922
291,GA-303,303,204,151-300,Secondary,0.000981334,0.0009813348645560157,33.90319931,-80.79367674
292,GA-303,303,191,151-300,Secondary,0.000505687,0.0005056874455106396,34.0198117,-81.0258532
293,GA-303,303,156,151-300,Secondary,0.001129535,0.0011295359951212119,34.89395375,-81.929428
294,GA-303,303,258,151-300,Secondary,0.003330526,0.003330528934195991,32.88681303,-80.02509611
295,GA-303,303,286,151-300,Secondary,0.0013979,0.0013979012315509852,33.99822153,-79.37769234
296,GA-303,303,124,51-150,Secondary,0.003151283,0.003151285776282769,34.73092044,-82.462196
297,GA-303,303,205,151-300,Secondary,0.000773051,0.000773051681058531,34.90712222,-81.01128778
298,GA-303,303,148,51-150,Secondary,0.000148201,0.00014820113056519604,33.53246422,-81.7971931
299,GA-303,303,225,151-300,Secondary,0.00074301,0.0007430106545923867,32.44946269,-80.81498109
300,GA-303,303,7,<50,Primary,0.007433102,0.007433108548568631,33.87882718,-84.24722308
301,GA-303,303,19,<50,Primary,0.00297304,0.002973042619250548,33.97785107,-84.61278737
302,GA-303,303,23,<50,Primary,0.002675636,0.0026756383572373926,33.49760013,-84.39142252
303,GA-303,303,0,<50,Primary,0.00443002,0.004430023902851059,33.82242118,-84.34254523
304,GA-303,303,161,151-300,Secondary,0.000534727,0.000534727471094902,32.48343918,-82.06773196
305,GA-303,303,45,<50,Primary,0.00145698,0.0014569812836005111,34.33189276,-83.8383092
306,GA-303,303,56,51-150,Primary,0.001337818,0.0013378191786186963,33.90451178,-83.38081233
307,GA-303,303,73,51-150,Primary,0.000892213,0.0008922137860403455,34.69029569,-85.06255167
308,GA-303,303,126,51-150,Secondary,0.000445606,0.00044560639257923185,33.39659213,-82.21214724
309,GA-303,303,133,51-150,Secondary,0.000475646,0.0004756464190444952,33.48753421,-82.06129699
310,GA-303,303,98,51-150,Primary,0.000683929,0.0006839296025419799,32.62425137,-83.43419612
312,GA-303,303,79,51-150,Primary,0.000267363,0.00026736323554701056,32.8358381,-83.64196667
313,GA-303,303,211,151-300,Secondary,0.000921252,0.0009212528116237271,31.93639896,-81.49039479
314,GA-303,303,223,151-300,Secondary,0.000981334,0.0009813348645560157,32.0700884,-81.1176529
315,GA-303,303,221,151-300,Secondary,0.001040414,0.0010404149166055416,31.29840563,-82.00096162
316,GA-303,303,209,151-300,Secondary,0.000416566,0.00041656636699496935,30.92886067,-83.28538483
317,GA-303,303,163,151-300,Secondary,0.000505687,0.0005056874455106396,31.47418031,-83.95340051
318,GA-303,303,92,51-150,Primary,0.000148201,0.00014820113056519604,32.56099242,-84.86697576
319,GA-303,303,99,51-150,Primary,0.000267363,0.00026736323554701056,32.47927346,-84.96985213
